brand,model,year,generation,restyling,price,engine_volume,fuel_t,power_hp,transmission,drive,body-type,mileage,owners,steering,equipment
Honda,ZR V,2023,1,False,2023,1.5,бензин,178,вариатор,4WD,внедорожник,17000,1,правый,Z; 4 WD; два ключа; полный привод; черный; 1.5 литра; акпп; бензин; пробег 17 тыс.км
Nissan,Sunny,2002,9,False,2002,1.5,бензин,105,АКПП,передний,седан,100000,4,правый,1.5 super saloon SV limited
Toyota,Land Cruiser Prado,2014,4,True,2014,2.7,бензин,163,АКПП,4WD,джип/suv 5 дв.,117000,2,левый,2.7 AT Стандарт; б/у; 4 вд; 3399000 рублей; джип/suv 5 дв.
Toyota,Land Cruiser Prado,2015,4,True,2015,2.7,бензин,163,АКПП,4WD,джип/suv 5 дв.,120000,N/A,правый,2.7 TX Argento Cross 4WD
Лада,Приора,2007,1,False,2007,1.6,бензин,98,механика,передний,седан,100000,4,левый,1.6 MT Норма 21703-01-010
Hyundai,Solaris,2011,1,False,2011,1.6,бензин,123,АКПП,передний,седан,197517,1,левый,1.6 AT Comfort; 1.6 литра; цена 800тыс.р.
Opel,Astra,2012,4,False,2012,1.4,бензин,100,механика,передний,хэтчбек 5 дв.,77700,N/A,левый,1.4 MT Essentia
Лада,2107,1985,1,False,21071985,1.5,бензин,71,механика,задний,седан,50000,4,N/A,1.5 MT4 2107
Лада,Калина,2006,1,False,2006,1.6,бензин,81,механика,передний,хэтчбек 5 дв.,170210,4,N/A,N/A
Лада,Калина,2013,1,False,2013,1.6,бензин,81,механика,передний,универсал,58000,N/A,N/A,N/A
Nissan,Teana,2009,2,False,2009,2.5,бензин,185,вариатор,передний,седан,204000,3,правый,2.5 250XL; с пробегом 204000 км; 2.5л.
Chery,Tiggo 9,2024,2,False,92024,2.0,бензин,245,автомат,4WD,внедорожник,N/A,N/A,левый,Ultra полный 245
Opel,Astra,1999,2,False,1999,1.6,бензин,75,механика,передний,универсал,280000,4,левый,1.6 MT
Mitsubishi,Pajero,2012,4,True,2012,3.0,бензин,178,АКПП,4WD,джип/suv 5 дв.,370000,4,левый,3.0 AT Instyle
Hyundai,Lafesta,2025,1,True,2025,1.5,бензин,200,робот,передний,седан,75000,N/A,левый,Ultimate Edition
Hyundai,Lafesta,2025,1,True,2025,1.5,бензин,200,робот,передний,седан,14,N/A,левый,Ultimate Edition
Voyah,Free,2025,1,True,2025,1.5,бензин,150,АКПП,4WD,джип/suv 5 дв.,6,1,левый,1.5 EVR Sport Edition; джип/suv 5 дв.; бензиновый; 4 вд; акпп; гибрид
Лада,Приора,2012,1,False,2012,1.6,бензин,98,механика,передний,хэтчбек 5 дв.,129000,2,левый,N/A
Volkswagen,Passat,2012,7,False,2012,1.8,бензин,152,робот,передний,универсал,88590,N/A,левый,-2х зонный климат-контроль
Renault,Logan,2010,1,True,2010,1.6,бензин,103,механика,передний,седан,362075,3,левый,N/A
Лада,Гранта,2025,1,True,2025,1.6,бензин,106,механика,передний,седан,N/A,N/A,левый,1.6 MT #CLUB'23 (24)
Geely,Atlas Pro,2025,1,False,2025,1.5,бензин,150,АКПП,передний,внедорожник,N/A,N/A,левый,1.5T AT Comfort
Geely,Preface,2024,1,True,2024,2.0,бензин,200,робот,передний,седан,N/A,N/A,левый,2.0 DCT Flagship
Geely,Monjaro,2024,1,False,2024,2.0,бензин,238,АКПП,4WD,внедорожник,N/A,N/A,левый,2.0 AT Flagship
Toyota,Land Cruiser,2021,12,False,2021,3.4,бензин,415,АКПП,4WD,джип/suv 5 дв.,231892,1,левый,3.4 AT 70th Anniversary
Toyota,Corolla,2012,10,True,2012,1.6,бензин,124,АКПП,передний,седан,162000,2,левый,1.6 AT Comfort Plus
Volkswagen,Passat,2012,7,False,2012,1.8,бензин,152,робот,передний,седан,85660,1,левый,1.8 TSI DSG Trendline
Mercedes,Benz CLS Class,2005,1,False,2005,5.0,бензин,306,АКПП,задний,седан,234800,4,левый,CLS 500 AT
Volkswagen,Polo,2012,5,False,2012,1.6,бензин,105,АКПП,передний,седан,89000,3,левый,1.6 MPI Tiptronic Comfortline
Ford,Focus,2004,1,True,2004,1.8,бензин,115,механика,передний,седан,317000,4,левый,1.8 MT Finesse
Лада,Нива Легенд,2023,1,False,2023,1.7,бензин,83,механика,4WD,джип/suv 3 дв.,22580,2,левый,Кондиционер
BMW,X5,2011,2,True,52011,3.0,бензин,300,АКПП,4WD,внедорожник,400,4,левый,N/A
Ford,Focus,2013,3,False,2013,1.6,бензин,105,механика,передний,универсал,205600,N/A,левый,1.6 MT Trend
Mitsubishi,i,2010,1,False,2010,0.7,бензин,52,АКПП,задний,хэтчбек,208000,4,правый,N/A
Nissan,Juke,2011,1,False,2011,1.6,бензин,190,вариатор,4WD,внедорожник,92600,2,левый,1.6T CVT 4WD SE+ Sport
Hyundai,Elantra,2006,3,True,2006,2.0,бензин,138,механика,передний,седан,287000,3,левый,N/A
Лада,Приора,2014,1,True,2014,1.6,бензин,106,механика,передний,хэтчбек 5 дв.,221600,4,левый,1.6 MT Люкс 21725-33-051
Hyundai,Lafesta,2025,1,True,2025,1.5,бензин,200,робот,передний,седан,13,N/A,левый,Ultimate Edition
Mazda,Axela,2013,2,True,2013,1.5,бензин,111,вариатор,передний,хэтчбек 5 дв.,155000,2,правый,N/A
Toyota,Sprinter,1998,8,True,1998,1.5,бензин,100,АКПП,передний,седан,270000,4,правый,1.5 XE Vintage
SsangYong,Korando,2002,2,False,2002,2.3,дизель,101,АКПП,4WD,джип/suv 3 дв.,350000,4,левый,2.3TD AT DLX
Лада,2115 Самара,2005,1,False,2115,1.5,бензин,76,механика,передний,седан,177193,N/A,левый,1.5i MT Базовая
Haval,M6,2023,2,False,62023,1.5,бензин,143,робот,передний,внедорожник,38576,1,левый,1.5T DCT
Opel,Grandland X,2020,1,False,2020,1.6,бензин,200,АКПП,4WD,внедорожник,78700,N/A,левый,МАКСИМАЛЬНАЯ !
Лада,Веста,2019,1,False,2019,1.6,бензин,106,механика,передний,седан,114000,1,левый,Comfort Image
Toyota,Mark II,1994,7,True,21994,2.0,бензин,135,АКПП,задний,седан,274000,4,правый,2.0 Grande; цена 390тыс.руб.; 2л.; седан; коробка автомат
Volvo,S80,2013,2,True,802013,2.5,бензин,249,АКПП,передний,седан,197625,4,левый,2.5 T5 AT Спецсерия Summum
Renault,Duster,2020,1,True,2020,2.0,бензин,143,АКПП,4WD,внедорожник,120124,1,левый,2.0 AT 4x4 Drive
Infiniti,G37,2010,4,True,372010,3.7,бензин,330,АКПП,4WD,седан,280000,4,левый,3.7 Sport
Honda,Fit,2017,83,True,2017,1.3,бензин,100,вариатор,передний,хэтчбек,83000,1,правый,и особенности:
Lifan,Murman,2017,1,False,2017,1.8,бензин,128,механика,передний,седан,160537,1,левый,1.8 MT Prestige
Nissan,Qashqai,2019,2,False,2019,2.0,бензин,144,вариатор,передний,внедорожник,96000,3,левый,2.0 CVT LE+
Toyota,Prius,2013,3,True,2013,1.8,бензин,99,вариатор,передний,лифтбек,141000,N/A,правый,1.8 S Touring Selection G's
Opel,Astra,2012,4,False,2012,1.4,бензин,140,АКПП,передний,хэтчбек 5 дв.,240000,3,левый,"""Космо"". Приобретали в мае 2013 г..."
Hyundai,Solaris,2018,2,False,2018,1.6,бензин,123,АКПП,передний,седан,207850,1,левый,Comfort + Winter
Лада,Гранта,2016,1,True,2016,1.6,бензин,87,механика,передний,лифтбек,133042,N/A,левый,N/A
Mercedes,Benz A Class,2013,3,False,2013,1.6,бензин,122,робот,передний,хэтчбек 5 дв.,134453,N/A,левый,A180
Hyundai,Sonata,2010,N/A,False,2010,2.4,бензин,193,автомат,передний,седан,209491,N/A,левый,N/A
BMW,5 Series,2011,6,False,5,2.5,бензин,204,АКПП,задний,седан,295915,N/A,левый,N/A
Toyota,Land Cruiser Prado,2018,4,True,2018,2.7,бензин,163,АКПП,4WD,джип/suv 5 дв.,42000,1,правый,N/A
Chevrolet,Aveo,2012,2,False,2012,1.6,бензин,115,АКПП,передний,хэтчбек 5 дв.,145000,2,левый,1.6 AT LT
Mazda,Mazda3,2012,2,True,32012,1.6,бензин,105,АКПП,передний,седан,210000,3,левый,N/A
BMW,X6,2018,2,False,62018,4.4,бензин,575,АКПП,4WD,"LONG BEACH BLUE METALLIC VOLLLEDER MERINO/MUGELLO ROT ОРИГИНАЛЬНЫЙ М-ПАКЕТ АККУРАТНАЯ ЭКСПЛУАТАЦИЯ И СВОЕВРЕМЕННОЕ ОБСЛУЖИВАНИЕ НЕБОЛЬШОЙ РОДНОЙ ПРОБЕГ КУЗОВ В ЗАВОДСКОМ ОКРАСЕ ПРОДАЖА ОТ СОБСТВЕННИКА ОТ ФИЗИЧЕСКОГО ЛИЦА ПЕРВЫЙ ХОЗЯИН ПРИОБРЕТАЛ У ОФИЦ ДИЛЕРА В ЛИЗИНГ ПОЛНОСТЬЮ ВЫПЛАЧЕН ЕСЛИ ЕСТЬ ВОПРОСЫ, ЗВОНИТЕ ОФОРМЛЕНИЕ И РЕГИСТРАЦИЯ В ГИБДД ПРИВЕТСТВУЕТСЯ ЗАЛОГОВ И ОГРАНИЧЕНИЙ НЕТ ДИАГНОСТИЧЕСКАЯ КАРТА ЕСТЬ ВОЗМОЖНА ПРОДАЖА В КРЕДИТ ВОЗМОЖЕН ТРЕЙД-ИН ГЛУПЫЕ ОБМЕНЫ НЕ ПРЕДЛАГАТЬ ХОРОШЕМУ ПОКУПАТЕЛЮ ТОРГ BMW X6M НЕ ПРОСТО АВТОМОБИЛЬ BMW X6M ЭТО СТИЛЬ ЖИЗНИ ! ! !",77500,4,левый,X6 M
Ford,Focus,2005,N/A,True,2005,2.0,бензин,131,автомат,передний,хэтчбек 5 дв.,253000,4,левый,N/A
Toyota,Sprinter Carib,1985,1,False,1985,1.5,бензин,85,АКПП,4WD,универсал,168582,4,правый,AV-II
Nissan,Almera,2003,2,True,2003,1.8,бензин,116,механика,передний,седан,350500,4,левый,1.8 MT Люкс
Nissan,Lucino,1995,1,False,1995,1.5,бензин,105,АКПП,передний,хэтчбек 3 дв.,267675,4,правый,N/A
Nissan,Terrano Regulus,1997,1,False,1997,3.2,дизель,150,АКПП,4WD,внедорожник,394000,4,правый,3.2DT R
Mercedes,Benz GL Class,2008,1,False,2008,4.7,бензин,340,АКПП,4WD,внедорожник,400000,4,левый,N/A
Toyota,Corona,1996,10,True,1996,1.8,бензин,125,АКПП,передний,седан,390000,4,правый,1.8 EX saloon
Peugeot,306,1995,1,False,3061995,1.4,бензин,75,механика,передний,хэтчбек 5 дв.,324482,4,левый,1.4i MT XR
Лада,Веста,2017,1,False,2017,1.6,бензин,106,механика,передний,седан,166700,2,левый,N/A
Лада,2115 Самара,2007,1,False,2115,1.6,бензин,81,механика,передний,седан,100,4,левый,1.6 MT 21154-20-010; коробка механическая
Renault,Megane,2008,2,True,2008,1.6,бензин,113,АКПП,передний,седан,219000,4,левый,Confort 1.6 AT
Kia,Cerato,2006,1,False,2006,1.6,бензин,105,механика,передний,хэтчбек 5 дв.,280000,4,левый,1.6 MT EX
Toyota,Land Cruiser Prado,2016,4,True,2016,2.8,дизель,177,АКПП,4WD,джип/suv 5 дв.,110000,2,левый,2.8D AT Элеганс; автоматическая коробка; джип/suv 5 дв.; 4600000 руб.
Lexus,RX300,2020,4,True,3002020,2.0,бензин,238,АКПП,4WD,внедорожник,54400,N/A,левый,2.0t AT AWD Premium
Chevrolet,Cruze,2014,1,True,2014,1.6,бензин,109,механика,передний,седан,231760,4,левый,1.6 MT LS A/C
Land,Rover Range Rover Sport,2014,2,False,2014,4.4,дизель,339,АКПП,4WD,внедорожник,105000,2,левый,4.4 SD AT Autobiography
Лада,2112,2004,1,False,21122004,1.5,бензин,91,механика,передний,хэтчбек 5 дв.,250000,4,левый,1.5 MT Базовая 5-дв. 2112
Toyota,Camry,1996,4,False,1996,2.0,бензин,140,АКПП,передний,седан,1,3,правый,2.0 ZX G package
Honda,HR V,2004,1,True,2004,1.6,бензин,105,вариатор,передний,джип/suv 5 дв.,170000,3,правый,1.6 J
Haval,M6,2025,2,False,62025,1.5,бензин,143,робот,передний,внедорожник,N/A,N/A,левый,1.5T DCT
Honda,Stream,2010,2,True,2010,1.8,бензин,140,АКПП,передний,минивэн,170000,1,правый,1.8 RSZ
Nissan,Note,2017,2,True,2017,1.2,бензин,79,вариатор,передний,хэтчбек,112000,1,правый,Штатные камеры кругового обзора (360°)
Fiat,Albea,2007,1,True,2007,1.4,бензин,77,механика,передний,седан,135000,N/A,левый,N/A
Renault,Duster,2013,1,False,2013,1.6,бензин,102,механика,4WD,внедорожник,77730,1,левый,N/A
Haval,M6,2025,2,False,62025,1.5,бензин,143,робот,передний,внедорожник,N/A,N/A,левый,1.5T DCT
Kia,Ceed,2017,2,True,2017,1.6,бензин,130,АКПП,передний,универсал,243177,1,левый,N/A
Kia,Ceed,2020,3,False,2020,1.6,бензин,128,АКПП,передний,хэтчбек 5 дв.,131000,N/A,левый,N/A
Toyota,Platz,2001,1,False,2001,1.0,бензин,70,АКПП,передний,седан,200000,4,правый,1.0 F L package
Лада,2110,2005,1,False,21102005,1.6,бензин,89,механика,передний,седан,311000,4,левый,1.6i MT 21104; 150тысяч рублей; механика; бу; бензин
Toyota,Vitz,2018,3,True,2018,1.0,бензин,69,вариатор,передний,хэтчбек 5 дв.,131755,2,правый,1.0 F M Package; автомат
Lexus,NX200,2016,1,False,2002016,2.0,бензин,150,вариатор,4WD,внедорожник,73500,2,левый,"климат-контроль двухзонный, парктроники по кругу, камера заднего хода, мультимедиа, iРоd, Вluеtооth, автоскладывание зеркал, обогрев сидений и руля, круиз-контроль, бесключевой доступ, старт-стоп, эко-режим, электроручник, автохолд и т.д."
Haval,M6,2025,2,False,62025,1.5,бензин,143,робот,передний,внедорожник,N/A,N/A,левый,1.5T DCT
Лада,2111,2004,1,False,21112004,1.5,бензин,78,механика,передний,универсал,350000,4,левый,1.5i MT Стандарт
Subaru,Forester,2008,3,False,2008,2.0,бензин,150,механика,4WD,внедорожник,232081,4,левый,2.0 MT Comfort; бензин; Омская область; механическая коробка передач; полный привод
Volkswagen,Passat,2013,7,False,2013,1.4,бензин,122,робот,передний,седан,141000,2,левый,N/A
Subaru,Forester,1999,1,False,1999,2.0,бензин,137,АКПП,4WD,внедорожник,400000,4,правый,2.0 C/20; 4 вд; 2 литра; с пробегом
Haval,Jolion,2025,1,True,2025,1.5,бензин,150,робот,4WD,внедорожник,N/A,N/A,левый,1.5 DCT 4WD Tech+
Лада,2110,1999,1,False,21101999,1.5,бензин,78,механика,передний,седан,260000,4,левый,1.5i MT 21102
Haval,M6,2025,2,False,62025,1.5,бензин,143,робот,передний,внедорожник,N/A,N/A,левый,1.5T DCT
Toyota,Camry,2012,8,False,2012,2.5,бензин,181,АКПП,передний,седан,264000,3,левый,2.5 6AT Prestige Plus
Haval,Jolion,2025,1,True,2025,1.5,бензин,150,робот,4WD,внедорожник,N/A,N/A,левый,1.5 DCT 4WD Premium
Mazda,Mazda3,2018,3,True,32018,1.6,бензин,104,АКПП,передний,седан,62480,1,левый,1.6 AT Active+
Honda,Civic,2008,8,False,2008,1.8,бензин,140,АКПП,передний,седан,217475,4,левый,1.8 AT Executive
Лада,2114 Самара,2010,1,False,2114,1.6,бензин,81,механика,передний,хэтчбек 5 дв.,N/A,N/A,левый,1.6 MT 21144-22-010
Haval,Jolion,2025,1,True,2025,1.5,бензин,150,робот,4WD,внедорожник,N/A,N/A,левый,1.5 DCT 4WD Tech+
Nissan,Qashqai,2012,1,True,2012,2.0,бензин,141,вариатор,4WD,внедорожник,190000,2,левый,N/A
Toyota,Vitz,2017,3,True,2017,1.0,бензин,69,вариатор,передний,хэтчбек 5 дв.,92187,2,правый,N/A
Toyota,Isis,2013,1,True,2013,1.8,бензин,143,вариатор,передний,"//t.me/Ernest_era_avto так же прикрепил QR код ленте фото ————————————————————- ЗАКЛЮЧЕНИЕ ДОГОВОРА !!! У НАС ВЫ МОЖЕТЕ ПРИОБРЕСТИ АВТО В КРЕДИТ Более 25 банков партнеров Одобрение в течении часа Всего по 2 документам 💰 💴 ОТПРАВКА АВТО В ЛЮБУЮ ТОЧКУ РФ ✈️ АВТО ТОЛЬКО С ТАМОЖНИ ВСЕ СБОРЫ ОПЛАЧЕНЫ, СЕЛ И ПОЕХАЛ",128000,N/A,правый,1.8 Platana V Selection
BMW,X5,2017,3,False,52017,3.0,дизель,249,АКПП,4WD,внедорожник,87845,3,левый,xDrive30d Luxury
BMW,X6,2025,N/A,False,62025,3.0,дизель,286,автомат,4WD,внедорожник,49,1,левый,N/A
Toyota,Corona Premio,1998,1,True,1998,1.8,бензин,115,АКПП,передний,седан,275852,3,правый,N/A
BMW,X5,2022,4,False,52022,3.0,бензин,340,АКПП,4WD,внедорожник,43644,1,левый,xDrive 40i AT M Sport Pro
BMW,X6,2015,2,False,62015,4.4,бензин,450,АКПП,4WD,внедорожник,69793,1,правый,xDrive 50i
Nissan,X Trail,2005,1,True,2005,2.5,бензин,165,АКПП,4WD,джип,300000,3,левый,2.5 AT 4WD Elegance
Haval,Jolion,2025,1,True,2025,1.5,бензин,150,робот,4WD,внедорожник,N/A,N/A,левый,1.5 DCT 4WD Premium
Toyota,Passo,2013,2,False,2013,1.0,бензин,69,вариатор,передний,хэтчбек,160,1,правый,1.0 X L package; 1 литра; передний привод
Suzuki,Grand Vitara,2011,2,True,2011,2.4,бензин,169,АКПП,4WD,джип/suv 5 дв.,189710,3,левый,2.4 AT JLX-EL
Haval,Jolion,2025,1,True,2025,1.5,бензин,150,робот,4WD,внедорожник,N/A,N/A,левый,1.5 DCT 4WD Elite
Honda,HR V,2002,1,True,2002,1.6,бензин,105,вариатор,4WD,джип/suv 5 дв.,263000,4,правый,1.6 J4 super Player
Volkswagen,Touareg,2015,2,True,2015,3.0,дизель,245,АКПП,4WD,внедорожник,235482,4,левый,3.0 TDI Terrain Tech; полный привод; б/у
Nissan,X Trail,2022,4,False,2022,1.5,бензин,144,АКПП,4WD,внедорожник,33000,N/A,правый,1.5 X 5-seat e-4ORCE 4WD
Mitsubishi,Outlander,2012,3,False,2012,2.0,бензин,146,вариатор,передний,внедорожник,153325,N/A,левый,N/A
Toyota,Isis,2010,1,True,2010,1.8,бензин,144,вариатор,передний,минивэн,158000,N/A,правый,1.8 L
Haval,Jolion,2025,1,True,2025,1.5,бензин,143,механика,передний,внедорожник,N/A,N/A,левый,1.5 MT Comfort
Suzuki,Escudo,1995,1,True,1995,2.0,бензин,140,АКПП,4WD,джип/suv 5 дв.,180000,3,правый,2.0 Nomade Goldwin limited
Nissan,Note,2018,89293395727,True,2018,1.2,бензин,79,АКПП,передний,хэтчбек,80000,N/A,правый,1.2 e-POWER X C-Gear
Haval,F7,2025,2,False,72025,2.0,бензин,192,робот,4WD,внедорожник,N/A,N/A,левый,2.0 SAT 4WD Tech+; 3 499 000 руб.
Nissan,X Trail,2016,3,False,2016,2.0,бензин,147,вариатор,4WD,внедорожник,138000,N/A,правый,N/A
Opel,Astra,2007,3,True,2007,1.6,бензин,115,механика,передний,седан,238700,4,левый,N/A
Citroen,Berlingo,2001,1,False,2001,1.4,бензин,75,механика,передний,минивэн,N/A,N/A,левый,1.4i MT X/SX PLC; мкпп; 1.4 литра; бензин
Opel,Corsa,2007,4,False,2007,1.0,бензин,60,механика,передний,хэтчбек 3 дв.,200000,2,левый,1.0 MT 3dr.
Chery,Tiggo 4 Pro,2024,1,False,4,1.5,бензин,113,вариатор,передний,внедорожник,6300,1,левый,1.5 CVT Action; автомат
Toyota,Vitz,2017,3,True,2017,1.5,бензин,74,вариатор,передний,хэтчбек 5 дв.,139301,1,правый,1.5 Hybrid F Safety Edition
Honda,Freed+,2019,2,False,2019,1.5,бензин,131,вариатор,4WD,минивэн,118395,N/A,правый,1.5 G Honda Sensing 4WD
Haval,F7,2025,2,False,72025,1.5,бензин,150,робот,передний,внедорожник,N/A,N/A,левый,1.5 SAT Elite
Ford,Focus,2012,3,False,2012,1.6,бензин,125,механика,передний,хэтчбек 5 дв.,186500,N/A,левый,N/A
Toyota,Land Cruiser,2012,11,True,2012,4.6,бензин,309,АКПП,4WD,джип/suv 5 дв.,174082,2,левый,N/A
Kia,Rio X (X Line),2018,1,False,2018,1.6,бензин,123,АКПП,передний,хэтчбек,32800,N/A,левый,1.6 AT Prestige
Nissan,Terrano,2017,3,False,2017,N/A,бензин,114,механика,4wd,джип/suv 5 дв.,141700,N/A,левый,Elegance
Jaecoo,J7,2025,1,False,72025,1.6,бензин,150,робот,передний,внедорожник,150000,N/A,левый,1.6T DCT Lifestyle
Haval,Dargo,2025,1,False,2025,2.0,бензин,192,робот,4WD,внедорожник,1000,N/A,левый,2.0 GDIT DCT AWD Tech Plus
Chrysler,300C,2006,1,False,300,3.5,бензин,249,АКПП,задний,седан,100000,1,левый,3.5 AT
SsangYong,Kyron,2011,1,True,2011,2.0,дизель,141,АКПП,4WD,внедорожник,187199,N/A,левый,2.0 Xdi AT 4WD Comfort
Jaecoo,J7,2025,1,False,72025,1.6,бензин,150,робот,4WD,внедорожник,150000,N/A,левый,1.6T DCT AWD Supreme
ИЖ,2715,1992,2,False,27151992,1.5,бензин,75,механика,задний,N/A,30000,4,левый,1.4 MT М-183Я
Renault,Sandero Stepway,2019,2,True,2019,1.6,бензин,82,механика,передний,хэтчбек,69500,N/A,левый,Drive
Hyundai,ix55,2011,1,False,552011,3.0,дизель,239,АКПП,4WD,внедорожник,249981,4,левый,3.0 CRDI AT 4WD Luxury+Navi
Honda,Fit,2015,3,False,2015,1.3,бензин,100,вариатор,передний,хэтчбек,107660,N/A,правый,1.3 13G F Package
Kia,Rio,2014,3,False,2014,1.4,бензин,107,механика,передний,седан,167000,2,левый,Comfort (без теплых опций)
Toyota,RAV4,2010,3,True,42010,2.4,бензин,170,АКПП,4WD,джип/suv 5 дв.,149000,2,левый,2.4 AT Long Престиж Плюс
Ford,C MAX,2007,1,False,2007,1.8,бензин,125,механика,передний,минивэн,308731,3,левый,•	ПТС оригинал
Toyota,Sienta,2016,2,False,2016,1.5,бензин,109,вариатор,передний,минивэн,153273,N/A,правый,N/A
Chevrolet,Aveo,2011,1,True,2011,1.4,бензин,101,механика,передний,седан,161900,N/A,левый,1.4 MT LS
Toyota,Camry,2009,7,True,2009,2.4,бензин,167,АКПП,передний,седан,193000,2,левый,2.4 AT Prestige
Kia,Rio X (X Line),2018,1,False,2018,1.6,бензин,123,АКПП,передний,хэтчбек,61715,1,левый,1.6 AT Comfort
Jaecoo,J7,2025,1,False,72025,1.6,бензин,150,робот,передний,внедорожник,150000,N/A,левый,1.6T DCT Lifestyle
Toyota,Premio,2009,2,False,2009,1.5,бензин,110,вариатор,передний,седан,56000,N/A,правый,1.5 F L package
Honda,Fit,2001,1,False,2001,1.3,бензин,86,вариатор,передний,хэтчбек,290000,2,правый,N/A
Kia,Sorento,2012,2,False,2012,2.4,бензин,175,механика,4WD,джип/suv 5 дв.,191850,2,левый,•	ПТС оригинал
Mitsubishi,Lancer,2007,9,True,2007,1.6,бензин,98,АКПП,передний,седан,230287,N/A,левый,N/A
Ford,Mustang,2017,N/A,False,2017,2.3,бензин,317,автомат,задний,купе,75828,3,левый,Ford Mustang VI Рестайлинг 2.3 AT (317 л.с.)
Mazda,Bongo Friendee,2002,1,True,2002,2.0,бензин,105,АКПП,задний,минивэн,349000,4,правый,N/A
Mazda,CX 5,2012,1,False,52012,2.0,бензин,150,АКПП,передний,внедорожник,220000,2,левый,2.0 AT Active
Lexus,RX350,2012,3,True,3502012,3.5,бензин,277,АКПП,4WD,внедорожник,173000,3,левый,с панорамой; подогрев обдув сидений; бензин; 4 вд; с пробегом 173тыс.км; пробег
Toyota,C HR,2017,89293395727,False,2017,1.8,бензин,98,вариатор,передний,внедорожник,65000,N/A,правый,Hybrid 1.8 S LED Edition
Toyota,Prius,2008,2,True,2008,1.5,бензин,76,вариатор,передний,лифтбек,177,2,правый,N/A
Audi,A6,2004,3,False,62004,2.4,бензин,177,вариатор,передний,седан,366690,3,левый,2.4 multitronic
Лада,4x4 2121 Нива,2021,1,True,4,1.7,бензин,83,механика,4WD,внедорожник,43148,1,левый,Lada (ВАЗ) 2121 (4x4) I Рестайлинг (2020) 1.7 MT (83 л.с.) 4WD Classic
Лада,Калина,2013,2,False,2013,1.6,бензин,98,АКПП,передний,хэтчбек 5 дв.,60500,1,N/A,1.6 AT Comfort; хэтчбек 5 дв.; стоимость 499 тыс.р.; АКПП
Toyota,Voxy,2018,3,True,2018,2.0,бензин,152,вариатор,передний,минивэн,98021,1,правый,Toyota Voxy III (R80) Рестайлинг 2.0 CVT (152 л.с.)
Honda,Freed,2013,1,True,2013,1.5,бензин,118,вариатор,передний,минивэн,179509,2,правый,Honda Freed I Рестайлинг 1.5 CVT (118 л.с.)
Citroen,Berlingo,2012,2,True,2012,1.6,бензин,120,механика,передний,минивэн,120416,2,левый,1.6 MT XTR; бензин; 1.6 литра
Лада,Нива Легенд,2023,1,False,2023,1.7,бензин,83,механика,4WD,джип/suv 3 дв.,30036,1,левый,1.7 MT Classic
Ford,Focus,2005,1,True,2005,1.8,бензин,115,механика,передний,седан,239256,3,левый,1.8 MT
Skoda,Rapid,2021,2,False,2021,1.6,бензин,110,АКПП,передний,лифтбек,70123,1,левый,1.6 MPI AT Ambition; бензин
Ford,Kuga,2018,2,True,2018,1.5,бензин,150,АКПП,4WD,внедорожник,187035,1,левый,1.5 EcoBoost AT 4WD Trend Plus
Лада,Гранта,2018,1,True,2018,1.6,бензин,87,механика,передний,лифтбек,59270,2,левый,1.6 MT Comfort
Лада,Гранта,2024,1,True,2024,1.6,бензин,90,механика,передний,седан,28122,1,левый,1.6 MT Standard; пробег 28 тысяч км; 1.6 литра
УАЗ,Патриот,2007,1,False,2007,2.7,бензин,128,механика,4WD,внедорожник,90419,4,левый,УАЗ Patriot I 3163 2.7 MT (128 л.с.) 4WD
Lexus,RX350,2013,3,True,3502013,3.5,бензин,277,АКПП,4WD,внедорожник,115200,4,левый,3.5 AT Premium
Toyota,Vitz,2018,3,True,2018,1.3,бензин,95,вариатор,4WD,хэтчбек 5 дв.,118000,1,правый,1.3 F Safety Edition 4WD
Ford,Fusion,2007,1,True,2007,1.4,бензин,80,механика,передний,хэтчбек 5 дв.,218448,4,левый,1.4 MT Ambiente
Kia,Rio,2013,3,False,2013,1.4,бензин,107,механика,передний,седан,2000,2,левый,N/A
Skoda,Fabia,2011,2,True,2011,1.4,бензин,86,механика,передний,универсал,220000,2,левый,1.4 MT Elegance
Chevrolet,Equinox,2020,3,False,2020,1.5,бензин,170,АКПП,передний,N/A,139616,1,левый,N/A
Hyundai,Solaris,2013,1,False,2013,1.6,бензин,123,АКПП,передний,седан,192000,3,левый,1.6 AT Optima; 1.6л.; автоматическая коробка
Лада,2112,2001,1,False,21122001,1.5,бензин,71,механика,передний,хэтчбек 5 дв.,62000,3,левый,1.5 MT Базовая 5-дв. 2112
Toyota,Auris,2008,1,False,2008,1.6,бензин,124,автомат,передний,хэтчбек 5 дв.,320000,3,левый,N/A
Lexus,UX250h,2019,89293395727,False,250,2.0,бензин,146,вариатор,передний,внедорожник,57000,N/A,правый,250h F SPORT
Mitsubishi,L200,2011,4,False,2002011,2.5,дизель,136,АКПП,4WD,N/A,402000,2,левый,2.5 TD AT Intense
Lexus,RX450h,2011,3,False,450,3.5,бензин,249,автомат,4WD,внедорожник,160000,N/A,левый,N/A
Toyota,RAV4,2021,5,False,42021,2.5,бензин,199,АКПП,4WD,джип/suv 5 дв.,99700,3,левый,2.5 AT 4WD Style
Kia,Rio,2019,4,False,2019,1.6,бензин,123,АКПП,передний,седан,98335,N/A,левый,1.6 AT Luxe; автомат; 1.6 литра; седан; серебристый
